workshop_id,weight,rule
1205384039,1.000000,"0-2000 blocks, one in 1"
1207638619,9.992593,"2000-5000 blocks, one in 10"
1207696347,1.000000,"0-2000 blocks, one in 1"
1208363143,1.000000,"0-2000 blocks, one in 1"
1208825358,1.000000,"0-2000 blocks, one in 1"
1209273221,1.000000,"0-2000 blocks, one in 1"
1209673765,1.000000,"0-2000 blocks, one in 1"
1209775554,1.000000,"0-2000 blocks, one in 1"
1210258559,1.000000,"0-2000 blocks, one in 1"
1211413010,1.000000,"0-2000 blocks, one in 1"
1211656161,1.000000,"0-2000 blocks, one in 1"
1211739294,1.000000,"0-2000 blocks, one in 1"
1212068596,7.987805,"5000-10000 blocks, one in 8"
1212185952,1.000000,"0-2000 blocks, one in 1"
1213452579,1.000000,"0-2000 blocks, one in 1"
1213901570,1.000000,"0-2000 blocks, one in 1"
1214495971,1.000000,"0-2000 blocks, one in 1"
1214735248,1.000000,"0-2000 blocks, one in 1"
1218951117,1.000000,"0-2000 blocks, one in 1"
1219883464,1.000000,"0-2000 blocks, one in 1"
1220429354,1.000000,"0-2000 blocks, one in 1"
1220679841,1.000000,"0-2000 blocks, one in 1"
1221350549,1.000000,"0-2000 blocks, one in 1"
1221869209,1.000000,"0-2000 blocks, one in 1"
1221870036,1.000000,"0-2000 blocks, one in 1"
1222503189,1.000000,"0-2000 blocks, one in 1"
1222573808,1.000000,"0-2000 blocks, one in 1"
1223627466,1.000000,"0-2000 blocks, one in 1"
1225530389,1.000000,"0-2000 blocks, one in 1"
1226043815,1.000000,"0-2000 blocks, one in 1"
1226692506,1.000000,"0-2000 blocks, one in 1"
1227728955,1.000000,"0-2000 blocks, one in 1"
1228319865,1.000000,"0-2000 blocks, one in 1"
1229541776,1.000000,"0-2000 blocks, one in 1"
1230297857,1.000000,"0-2000 blocks, one in 1"
1230416099,1.000000,"0-2000 blocks, one in 1"
1231247536,1.000000,"0-2000 blocks, one in 1"
1231497230,1.000000,"0-2000 blocks, one in 1"
1232024903,1.000000,"0-2000 blocks, one in 1"
1233090996,1.000000,"0-2000 blocks, one in 1"
1235662113,7.987805,"5000-10000 blocks, one in 8"
1236575175,1.000000,"0-2000 blocks, one in 1"
1241002572,7.987805,"5000-10000 blocks, one in 8"
1242504118,1.000000,"0-2000 blocks, one in 1"
1242517860,1.000000,"0-2000 blocks, one in 1"
1242626935,1.000000,"0-2000 blocks, one in 1"
1243599424,1.000000,"0-2000 blocks, one in 1"
1244572464,1.000000,"0-2000 blocks, one in 1"
1244596234,1.000000,"0-2000 blocks, one in 1"
1248533401,1.000000,"0-2000 blocks, one in 1"
1249516739,1.000000,"0-2000 blocks, one in 1"
1250444066,1.000000,"0-2000 blocks, one in 1"
1254738733,1.000000,"0-2000 blocks, one in 1"
1256662398,1.000000,"0-2000 blocks, one in 1"
1258464995,1.000000,"0-2000 blocks, one in 1"
1258466835,1.000000,"0-2000 blocks, one in 1"
1259209481,1.000000,"critical in the reference walk"
1260239932,1.000000,"0-2000 blocks, one in 1"
1260241059,1.000000,"0-2000 blocks, one in 1"
1261893851,1.000000,"0-2000 blocks, one in 1"
1261895928,1.000000,"0-2000 blocks, one in 1"
1261896420,1.000000,"0-2000 blocks, one in 1"
1261896980,1.000000,"0-2000 blocks, one in 1"
1262983187,1.000000,"0-2000 blocks, one in 1"
1263586183,1.000000,"0-2000 blocks, one in 1"
1266595102,1.000000,"0-2000 blocks, one in 1"
1266770845,1.000000,"0-2000 blocks, one in 1"
1267108433,9.992593,"2000-5000 blocks, one in 10"
1267372822,1.000000,"0-2000 blocks, one in 1"
1268499870,1.000000,"0-2000 blocks, one in 1"
1268690108,1.000000,"0-2000 blocks, one in 1"
1270251807,1.000000,"0-2000 blocks, one in 1"
1270251981,1.000000,"0-2000 blocks, one in 1"
1270941455,1.000000,"0-2000 blocks, one in 1"
1271004574,1.000000,"0-2000 blocks, one in 1"
1271446662,1.000000,"0-2000 blocks, one in 1"
1271471341,1.000000,"0-2000 blocks, one in 1"
1271933209,1.000000,"0-2000 blocks, one in 1"
1271987938,1.000000,"0-2000 blocks, one in 1"
1272862547,1.000000,"0-2000 blocks, one in 1"
1273863257,7.987805,"5000-10000 blocks, one in 8"
1274804696,1.000000,"0-2000 blocks, one in 1"
1276269601,1.000000,"0-2000 blocks, one in 1"
1276719249,1.000000,"0-2000 blocks, one in 1"
1277803385,1.000000,"0-2000 blocks, one in 1"
1279710795,1.000000,"0-2000 blocks, one in 1"
1281278182,1.000000,"0-2000 blocks, one in 1"
1282781951,1.000000,"0-2000 blocks, one in 1"
1283542181,1.000000,"0-2000 blocks, one in 1"
1283747790,1.000000,"0-2000 blocks, one in 1"
1284582452,1.000000,"0-2000 blocks, one in 1"
1284682249,1.000000,"0-2000 blocks, one in 1"
1284716972,1.000000,"0-2000 blocks, one in 1"
1285002508,1.000000,"0-2000 blocks, one in 1"
1285145259,1.000000,"0-2000 blocks, one in 1"
1285604195,1.000000,"0-2000 blocks, one in 1"
1286092644,1.000000,"0-2000 blocks, one in 1"
1286208246,1.000000,"0-2000 blocks, one in 1"
1287417850,1.000000,"0-2000 blocks, one in 1"
1287771358,1.000000,"0-2000 blocks, one in 1"
1287966673,1.000000,"0-2000 blocks, one in 1"
1288843131,9.992593,"2000-5000 blocks, one in 10"
1288877371,1.000000,"0-2000 blocks, one in 1"
1289675837,1.000000,"0-2000 blocks, one in 1"
1290459916,1.000000,"0-2000 blocks, one in 1"
1292388724,1.000000,"0-2000 blocks, one in 1"
1292496851,1.000000,"0-2000 blocks, one in 1"
1293075502,1.000000,"0-2000 blocks, one in 1"
1293191491,1.000000,"0-2000 blocks, one in 1"
1293387411,1.000000,"0-2000 blocks, one in 1"
1294596082,1.000000,"0-2000 blocks, one in 1"
1295410210,1.000000,"0-2000 blocks, one in 1"
1297199454,1.000000,"0-2000 blocks, one in 1"
1297616884,1.000000,"0-2000 blocks, one in 1"
1298213738,1.000000,"0-2000 blocks, one in 1"
1298369708,1.000000,"0-2000 blocks, one in 1"
1298803369,1.000000,"0-2000 blocks, one in 1"
1298940730,1.000000,"0-2000 blocks, one in 1"
1299638759,1.000000,"0-2000 blocks, one in 1"
1300481292,1.000000,"0-2000 blocks, one in 1"
1300585967,1.000000,"0-2000 blocks, one in 1"
1301420329,1.000000,"0-2000 blocks, one in 1"
1303346089,7.987805,"5000-10000 blocks, one in 8"
1305603769,1.000000,"0-2000 blocks, one in 1"
1306831239,1.000000,"0-2000 blocks, one in 1"
1307252344,1.000000,"0-2000 blocks, one in 1"
1307667305,1.000000,"0-2000 blocks, one in 1"
1310321276,9.992593,"2000-5000 blocks, one in 10"
1310599607,1.000000,"0-2000 blocks, one in 1"
1313306670,1.000000,"0-2000 blocks, one in 1"
1315470516,1.000000,"0-2000 blocks, one in 1"
1316600716,1.000000,"0-2000 blocks, one in 1"
1316985186,1.000000,"0-2000 blocks, one in 1"
1316989902,1.000000,"0-2000 blocks, one in 1"
1317808489,1.000000,"0-2000 blocks, one in 1"
1318076288,1.000000,"0-2000 blocks, one in 1"
1318243564,1.000000,"0-2000 blocks, one in 1"
1318263780,1.000000,"0-2000 blocks, one in 1"
1318285235,1.000000,"0-2000 blocks, one in 1"
1318294068,1.000000,"0-2000 blocks, one in 1"
1318341795,1.000000,"0-2000 blocks, one in 1"
1318458461,1.000000,"0-2000 blocks, one in 1"
1318526968,1.000000,"0-2000 blocks, one in 1"
1319769248,1.000000,"0-2000 blocks, one in 1"
1320622673,1.000000,"0-2000 blocks, one in 1"
1320766972,1.000000,"0-2000 blocks, one in 1"
1321304169,9.992593,"2000-5000 blocks, one in 10"
1322297638,1.000000,"0-2000 blocks, one in 1"
1323054249,1.000000,"0-2000 blocks, one in 1"
1324395921,1.000000,"0-2000 blocks, one in 1"
1325564002,7.987805,"5000-10000 blocks, one in 8"
1326984612,1.000000,"0-2000 blocks, one in 1"
1327461290,1.000000,"0-2000 blocks, one in 1"
1328357554,1.000000,"0-2000 blocks, one in 1"
1329536174,1.000000,"0-2000 blocks, one in 1"
1330327130,1.000000,"0-2000 blocks, one in 1"
1331667613,1.000000,"0-2000 blocks, one in 1"
1332608115,1.000000,"0-2000 blocks, one in 1"
1332663069,1.000000,"0-2000 blocks, one in 1"
1333146880,1.000000,"0-2000 blocks, one in 1"
1333811988,1.000000,"0-2000 blocks, one in 1"
1338599225,1.000000,"0-2000 blocks, one in 1"
1338599750,1.000000,"0-2000 blocks, one in 1"
1339264191,1.000000,"0-2000 blocks, one in 1"
1339277478,1.000000,"0-2000 blocks, one in 1"
1339610078,1.000000,"0-2000 blocks, one in 1"
1340508246,1.000000,"0-2000 blocks, one in 1"
1340586748,1.000000,"0-2000 blocks, one in 1"
1342586418,1.000000,"0-2000 blocks, one in 1"
1344175770,1.000000,"0-2000 blocks, one in 1"
1344700584,1.000000,"0-2000 blocks, one in 1"
1345661777,1.000000,"0-2000 blocks, one in 1"
1347204272,1.000000,"0-2000 blocks, one in 1"
1348305068,1.000000,"0-2000 blocks, one in 1"
1350865810,1.000000,"0-2000 blocks, one in 1"
1354158504,1.000000,"0-2000 blocks, one in 1"
1354261567,1.000000,"0-2000 blocks, one in 1"
1357050458,1.000000,"0-2000 blocks, one in 1"
1357091611,1.000000,"0-2000 blocks, one in 1"
1357279737,9.992593,"2000-5000 blocks, one in 10"
1357427072,1.000000,"0-2000 blocks, one in 1"
1358111196,1.000000,"0-2000 blocks, one in 1"
1359453214,1.000000,"0-2000 blocks, one in 1"
1360297519,1.000000,"0-2000 blocks, one in 1"
1362097375,1.000000,"0-2000 blocks, one in 1"
1362130212,1.000000,"0-2000 blocks, one in 1"
1362951854,1.000000,"0-2000 blocks, one in 1"
1364606432,1.000000,"0-2000 blocks, one in 1"
1366265007,1.000000,"0-2000 blocks, one in 1"
1367230064,1.000000,"0-2000 blocks, one in 1"
1368432306,1.000000,"0-2000 blocks, one in 1"
1368518925,1.000000,"0-2000 blocks, one in 1"
1369326290,1.000000,"0-2000 blocks, one in 1"
1370074132,1.000000,"0-2000 blocks, one in 1"
1371690908,1.000000,"0-2000 blocks, one in 1"
1371859066,1.000000,"0-2000 blocks, one in 1"
1371874146,1.000000,"0-2000 blocks, one in 1"
1372507157,1.000000,"0-2000 blocks, one in 1"
1372578517,1.000000,"0-2000 blocks, one in 1"
1373165795,1.000000,"0-2000 blocks, one in 1"
1373425653,1.000000,"0-2000 blocks, one in 1"
1375205766,1.000000,"0-2000 blocks, one in 1"
1375423809,1.000000,"0-2000 blocks, one in 1"
1377751603,1.000000,"0-2000 blocks, one in 1"
1377965723,1.000000,"0-2000 blocks, one in 1"
1378507944,1.000000,"0-2000 blocks, one in 1"
1386188210,9.992593,"2000-5000 blocks, one in 10"
1386224408,19.250000,"22000-32000 blocks, one in 20"
1387318888,1.000000,"0-2000 blocks, one in 1"
1388195147,1.000000,"0-2000 blocks, one in 1"
1388241467,1.000000,"0-2000 blocks, one in 1"
1388245620,1.000000,"0-2000 blocks, one in 1"
1394690986,1.000000,"0-2000 blocks, one in 1"
1395535628,1.000000,"0-2000 blocks, one in 1"
1397049004,1.000000,"0-2000 blocks, one in 1"
1397145659,1.000000,"0-2000 blocks, one in 1"
1397422899,1.000000,"0-2000 blocks, one in 1"
1397641385,1.000000,"0-2000 blocks, one in 1"
1397705085,1.000000,"0-2000 blocks, one in 1"
1397720345,1.000000,"0-2000 blocks, one in 1"
1397988991,1.000000,"0-2000 blocks, one in 1"
1397991027,1.000000,"0-2000 blocks, one in 1"
1398863675,1.000000,"0-2000 blocks, one in 1"
1400444586,1.000000,"0-2000 blocks, one in 1"
1400709254,1.000000,"0-2000 blocks, one in 1"
1400787592,1.000000,"0-2000 blocks, one in 1"
1401290633,1.000000,"0-2000 blocks, one in 1"
1401291381,1.000000,"0-2000 blocks, one in 1"
1401291934,1.000000,"0-2000 blocks, one in 1"
1402221502,1.000000,"0-2000 blocks, one in 1"
1402222153,1.000000,"0-2000 blocks, one in 1"
1402231142,1.000000,"0-2000 blocks, one in 1"
1402234274,1.000000,"0-2000 blocks, one in 1"
1402883642,9.992593,"2000-5000 blocks, one in 10"
1406370134,1.000000,"0-2000 blocks, one in 1"
1406435409,1.000000,"0-2000 blocks, one in 1"
1406450876,1.000000,"0-2000 blocks, one in 1"
1406862242,1.000000,"0-2000 blocks, one in 1"
1407929237,1.000000,"0-2000 blocks, one in 1"
1408396418,1.000000,"0-2000 blocks, one in 1"
1409144929,1.000000,"0-2000 blocks, one in 1"
1409163750,1.000000,"0-2000 blocks, one in 1"
1410034564,1.000000,"0-2000 blocks, one in 1"
1410063187,1.000000,"0-2000 blocks, one in 1"
1411965553,1.000000,"0-2000 blocks, one in 1"
1412075094,1.000000,"0-2000 blocks, one in 1"
1414729415,1.000000,"0-2000 blocks, one in 1"
1415212302,1.000000,"0-2000 blocks, one in 1"
1415550344,1.000000,"0-2000 blocks, one in 1"
1415844673,1.000000,"0-2000 blocks, one in 1"
1417365416,1.000000,"0-2000 blocks, one in 1"
1417848204,1.000000,"0-2000 blocks, one in 1"
1418508737,1.000000,"0-2000 blocks, one in 1"
1418805192,1.000000,"0-2000 blocks, one in 1"
1419211143,1.000000,"0-2000 blocks, one in 1"
1420413731,1.000000,"0-2000 blocks, one in 1"
1420757412,1.000000,"0-2000 blocks, one in 1"
1423592893,1.000000,"0-2000 blocks, one in 1"
1423677162,1.000000,"0-2000 blocks, one in 1"
1423690927,1.000000,"0-2000 blocks, one in 1"
1425119103,1.000000,"0-2000 blocks, one in 1"
1427972254,1.000000,"0-2000 blocks, one in 1"
1428640122,1.000000,"0-2000 blocks, one in 1"
1429224681,1.000000,"0-2000 blocks, one in 1"
1429949695,1.000000,"0-2000 blocks, one in 1"
1432699233,1.000000,"0-2000 blocks, one in 1"
1434108353,1.000000,"0-2000 blocks, one in 1"
1434135993,1.000000,"0-2000 blocks, one in 1"
1434424666,1.000000,"0-2000 blocks, one in 1"
1437749940,1.000000,"0-2000 blocks, one in 1"
1439990445,1.000000,"0-2000 blocks, one in 1"
1443414989,1.000000,"0-2000 blocks, one in 1"
1443466478,1.000000,"0-2000 blocks, one in 1"
1444955775,1.000000,"0-2000 blocks, one in 1"
1445085574,1.000000,"0-2000 blocks, one in 1"
1446398777,1.000000,"0-2000 blocks, one in 1"
1447086193,1.000000,"0-2000 blocks, one in 1"
1447249947,1.000000,"0-2000 blocks, one in 1"
1448518492,1.000000,"0-2000 blocks, one in 1"
1448829325,1.000000,"0-2000 blocks, one in 1"
1450200915,1.000000,"0-2000 blocks, one in 1"
